objects_moved,hiders_movement,seekers_movement,hiders_reward,seekers_reward
11,35.36817527075177,22.77350566785686,-46.0,46.0
0,35.25068975275444,22.20646164139222,-6.0,6.0
18,35.77445684973475,20.508501300353558,-34.0,34.0
81,33.688451996839035,24.799886836419844,48.0,-48.0
81,35.44806105367661,19.68926849808874,0.0,0.0
38,31.88602490904798,18.94674894677231,-22.0,22.0
6,35.910949629144866,22.108831247454063,-44.0,44.0
42,37.88896750036483,23.363699139334255,-38.0,38.0
29,34.39478255782606,20.140697643582744,-18.0,18.0
68,35.417263551239145,21.722255275408536,20.0,-20.0
25,32.472091551602404,18.06929728579698,8.0,-8.0
0,37.77220936220413,22.2378342767737,-28.0,28.0
0,34.90787721775912,21.683053494257383,-28.0,28.0
19,37.90275539051859,19.199054557290346,22.0,-22.0
18,31.702180509316655,19.621451300187154,-6.0,6.0
29,34.796186238823665,20.247388287870216,-4.0,4.0
53,30.434694391540795,23.741139704809335,10.0,-10.0
40,33.873252938773064,22.38979851183232,-22.0,22.0
0,35.102185613900254,20.260213169696783,-10.0,10.0
24,37.807691815852706,18.900899255229877,-18.0,18.0
30,32.83599185488317,20.610655323487887,14.0,-14.0
0,30.599990955651286,19.058338622737377,-2.0,2.0
0,32.16777823967856,19.990928959973353,-4.0,4.0
67,34.98331056674782,19.944429384239626,0.0,0.0
0,39.664730059111214,20.216741147551794,-40.0,40.0
0,33.87318563749993,21.031126801472162,-16.0,16.0
30,35.24620082005563,19.779284543640074,-20.0,20.0
7,36.38158902704824,19.43629916605637,-14.0,14.0
18,37.95923015215107,22.58403464775738,-40.0,40.0
0,32.48565795867909,21.20147863063572,-28.0,28.0
112,35.156797055416305,20.892885758015503,-4.0,4.0
7,35.205551427959456,18.99376737597747,22.0,-22.0
70,34.206242924595436,21.106175694539683,2.0,-2.0
113,31.907503998585902,23.352400887094625,10.0,-10.0
46,36.01048751794637,23.074955596833966,-8.0,8.0
37,32.49444481472008,18.516088426424176,10.0,-10.0
13,38.70202206964315,18.726801867272346,-20.0,20.0
19,35.64765360139404,21.404971804457304,-8.0,8.0
0,33.149305962627686,21.734153528281283,-20.0,20.0
0,31.290823816822908,18.922686305492906,-16.0,16.0
0,35.36541800349981,18.414878059146826,-34.0,34.0
31,31.86180999095193,18.926255169954157,26.0,-26.0
16,35.99699974846829,22.60512730899458,-32.0,32.0
0,35.781434013566525,20.80927032028406,38.0,-38.0
75,31.572133374283162,20.232199051607104,-30.0,30.0
1,33.26125317639489,17.555153089262767,-24.0,24.0
50,35.31208205439487,22.57826273594036,22.0,-22.0
12,36.03817630618393,22.96982567173483,-6.0,6.0
61,34.87551300581221,17.72542625941556,-26.0,26.0
32,33.94775790965172,15.977830650363098,-22.0,22.0
38,38.98040699429354,20.454544579059693,-4.0,4.0
46,33.70251537960498,17.156340371727936,-20.0,20.0
0,37.763930912452075,22.54308332256548,-32.0,32.0
65,35.31248856750387,20.288118133727508,-44.0,44.0
0,33.52330530509492,24.00013352890039,-46.0,46.0
0,35.24512373468882,21.08820000493101,-16.0,16.0
29,35.573701036906456,19.615852779444992,-32.0,32.0
38,33.154780438871946,21.7593685539719,-22.0,22.0
65,34.43416834194872,18.779282925119062,-2.0,2.0
0,30.53947016696008,18.52254760354109,-40.0,40.0
52,34.040273009556785,20.65063621120833,-38.0,38.0
0,34.5400944871175,18.505433211696523,-14.0,14.0
25,35.24870010824593,21.60622283933851,0.0,0.0
28,35.425724612915154,17.765074419477962,-18.0,18.0
24,29.330546421150057,19.870131336774968,12.0,-12.0
30,36.808295612152904,21.41982689149228,6.0,-6.0
15,32.496878064094176,21.994740136672302,-28.0,28.0
40,35.86420549647054,19.07569681164742,-32.0,32.0
1,31.182213833902274,21.365802119489786,-40.0,40.0
20,33.434474057986684,16.18795892551811,-18.0,18.0
83,30.292819714165503,19.461258156430457,18.0,-18.0
25,35.3907614132025,17.025521908962617,-10.0,10.0
15,32.77881045450336,17.86170088808636,2.0,-2.0
78,30.879829808897345,22.043715433640568,10.0,-10.0
0,32.66373561826512,17.615392812335514,-38.0,38.0
43,37.248517899162074,19.710603556276382,-10.0,10.0
42,38.10896413286862,20.962512136067684,-42.0,42.0
