objects_moved,hiders_movement,seekers_movement,hiders_reward,seekers_reward
3,26.27649114905144,10.930310821766955,-48.0,48.0
87,25.253887856964447,11.332417973800286,-24.0,24.0
15,29.781330545855678,10.971121127254007,-48.0,48.0
0,14.363526466145105,7.998899998543944,-36.0,36.0
0,9.206821150098119,10.574757514952593,-30.0,30.0
26,8.155072047114311,13.301253952471384,-42.0,42.0
54,28.062498050578814,8.187735669938439,-48.0,48.0
47,18.23438102610152,18.8823061338834,-12.0,12.0
40,21.266611280847584,13.755329966706556,-44.0,44.0
27,25.48972120782325,11.873583749475257,-42.0,42.0
0,6.920373882194031,14.68106378312525,-30.0,30.0
0,9.370603829880302,14.29026618099125,-48.0,48.0
0,13.056729029321964,14.89360399061224,-40.0,40.0
0,5.172013223622006,12.809171637935465,-30.0,30.0
0,12.122070307553669,12.48442309831473,-32.0,32.0
25,21.814893365688118,11.949922164230296,-48.0,48.0
51,24.012426878321325,14.483838108676046,-48.0,48.0
65,26.443219951095557,11.51334665092601,-44.0,44.0
37,18.324327419252402,6.619531598863356,-48.0,48.0
55,28.55219125942978,20.508694768765093,48.0,-48.0
0,7.480990658468001,20.115401006443733,20.0,-20.0
109,34.94089635105297,17.269317329251233,-26.0,26.0
65,21.925649844197252,14.297260233676267,-48.0,48.0
44,23.84570753023106,17.801092435739783,-12.0,12.0
0,6.77055625503664,11.008122524633572,-30.0,30.0
7,21.32953408591011,8.89407236922668,-38.0,38.0
0,15.376639907704092,9.846509603570686,-38.0,38.0
9,21.791169930082507,13.777305464995752,-32.0,32.0
0,18.164004957992457,10.066431281538591,-42.0,42.0
30,18.658702687203917,8.128904269350368,-48.0,48.0
30,28.79943869954401,14.959990841695955,-40.0,40.0
12,17.29220987716208,16.72407362797167,-24.0,24.0
19,10.232240049307842,10.512476843771369,-46.0,46.0
38,12.37622185523858,11.322682025367115,-38.0,38.0
0,6.816964292163733,21.60310451959703,-22.0,22.0
24,6.217144043967455,17.788537597905012,-34.0,34.0
0,18.196567037093455,12.617929417952428,-28.0,28.0
53,24.415180932108637,11.496790250591829,-42.0,42.0
55,10.771168214871608,11.888969301344698,-46.0,46.0
0,11.80031118545974,6.749855025578698,-48.0,48.0
0,18.756487735793197,11.0198727909817,-42.0,42.0
18,21.797514380455176,6.787748911059354,-48.0,48.0
115,30.506572106366487,18.206006099364,-14.0,14.0
0,12.30581112406317,8.894897432766234,-48.0,48.0
0,6.13607411660888,15.811964295401763,-6.0,6.0
12,4.416325129720937,9.363765070687304,-48.0,48.0
16,10.666344473264564,16.258742706454253,-30.0,30.0
15,23.688666390624928,11.089097788292591,-48.0,48.0
7,15.314401586571734,13.493704951140185,-44.0,44.0
65,20.366114021887626,14.641475745265458,-40.0,40.0
23,25.84140912726251,15.762904570029685,-26.0,26.0
30,14.712617761859123,14.524051615517775,-4.0,4.0
7,29.348640070070992,17.407173620663883,-42.0,42.0
77,25.6546972336166,12.311975251127677,-44.0,44.0
24,16.653359188486014,8.971607898791353,-48.0,48.0
56,17.394949804874148,13.257574176289548,-34.0,34.0
0,9.927292553071208,12.541331998810696,-40.0,40.0
12,12.491612334644302,15.609685685843804,-34.0,34.0
0,7.737222830019498,10.73259771050687,-42.0,42.0
63,29.83016345450654,13.746378840263791,-40.0,40.0
0,20.94370136872198,13.145801059010939,-36.0,36.0
5,23.802242340615226,21.02520125545283,10.0,-10.0
22,27.478736145810373,12.797435951138874,-42.0,42.0
33,23.27532591483505,12.531216945373464,-20.0,20.0
58,12.64334111802378,17.111685567395618,-40.0,40.0
80,27.285737214800974,17.42743561977317,-26.0,26.0
11,22.78139357708817,10.31992819432565,-48.0,48.0
62,18.599203879004946,14.90381996419188,2.0,-2.0
48,19.45900047226673,18.293087824861658,-40.0,40.0
23,18.971515645317425,10.722499629673438,-44.0,44.0
0,19.005819911380474,11.489214608490784,-38.0,38.0
8,12.92535683625728,14.24799501270635,-44.0,44.0
0,6.5945270438410715,11.651064681449224,-48.0,48.0
16,18.046307726088372,3.6839595576212183,-48.0,48.0
98,23.835055755614867,19.379561754988515,6.0,-6.0
36,24.80620221425428,10.591674413254918,-34.0,34.0
0,5.798145481808069,13.28336021430141,-22.0,22.0
11,18.308617074475475,15.634924510872462,-22.0,22.0
0,19.010288097601233,10.510462000584337,-48.0,48.0
0,5.245652557309344,10.543063129020336,-46.0,46.0
20,15.603100600459513,17.973169419479763,-46.0,46.0
71,14.699585495444062,13.425533672306175,-48.0,48.0
0,9.487335578969223,13.861475855090877,-28.0,28.0
